,productTitle,Review Title,Rating,Review Body
19,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","Worst product ,Right bud not pairing",1.0 out of 5 stars,"I got this product and the right bud is not working ,it is not pairing . This is the third item in real me air pro buds I saw with the  same issue.Earlier two of my known persons bought this and faced the same issue .Battery is also draining quickly."
20,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","Box is new, everything is properly packed... The product inside is full of scratches",1.0 out of 5 stars,"Box is new, everything is properly packed... The product inside is full of scratches. What i asked is how can such a thing be possible, When all I have heard is  sorry it won't happen again. I appreciate the gesture of replacement, at the same time it has to be taken under consideration that the customer care executive are apologising, even though it's not their fault. Kindly get this corrected as such a thing has never happened to me! I have been a member for the last 8 years. I have never faced such an issue. Kindly get this corrected as No One in his/her right mind will take like to take walk as if it was around Wonderland! Its quite shocking."
21,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Awesome product,4.0 out of 5 stars,"The noise cancellation is not as expectedThe noise is just slightly reduced not completely diminished.Second is that the mic quality is also not so good as the sound is sometimes blur.Third is the sound quality which is awesome for a tws as you can feel the depth of sound as well.Fourth thing is the bass which will just satisfy your needs as thale bass is thumping enough vibrate your ears at a normal volume.Fifth is the latency mode which works wellThe touch controls are also goodBattery backup is niceSo, it would be a nice choice if you have budget of 3500 otherwise Realme Buds Air 3 can be a good suggestion compared to Buds 2.The review is after 5 months of use so you may prefer it."
22,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Random noise while listening.,1.0 out of 5 stars,"After so much thinking, I bought my first ear buds of realme. After two months use started getting random noise even when the audio is off. This was irratating when you are listening music and especially in meetings .This issue was happening sporadically not every time.Even realme service center  people couldn't address my issue.Worst product I brought till now."
23,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","CHARGING,CONNECTIVITY ISSUES After 6 months usage !! WARNING FOLKS DON'T BUY.",1.0 out of 5 stars,"what is the use of all features if the product cannot even survive a year !! I generally don't write reviews so much, but this product which I invested nearly 4k could even survive a year and even great news is that I cannot claim a warranty because the product has a scratch on it, Now come on a product can't even handle a scratch then I think we should buy the product and keep it in a bank locker, I bought the product on October 2021 It's not even one year now it is e-waste after 6 months of usage connectivity issue with one bud eventually two buds at last after a month the case, I HIGHLY RECOMMEND DON'T BUY THIS PRODUCT, WORST PRODUCT AND  EVEN WORST SERVICE"
24,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",They hurt your ears ..,2.0 out of 5 stars,I loved all of its features..and the quality of the sound but these earphones hurt so damn much ...they fit in such a way that my ears pain withing 5 min of usage ..might be different for different ears but personally it's unusably painful!!
25,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Value for Money,5.0 out of 5 stars,"The media could not be loaded.
                



 With the price it comes with, it has more features than it should have. Can't really complain about the ANC looking at the price. While listening to music the ANC works quite well but doesn't support well to the mic  when calling. Apart from above everything is awesome."
26,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Superb sound and build quality of TWS at this price range,4.0 out of 5 stars,This Product is absolutely fantastic. Superb sound quality at this price range. Sturdy build quality. After opening lid it doesn’t wobble.App support is great and fully functional. Noise cancellation is noticeable easily and at this range it is great but don’t expect it to be superb like Airpods Pro. Touch controls are also good.Eartips could have been better.
27,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Mostly Good.. Just......,4.0 out of 5 stars,"Sound - GoodANC - does not make any real differenceLooks - AwesomeBattery -  GreatBuild Quality - Great, just the silicon tips look and feel cheap.Mic - Take a lot of background noise in calls.. that is the only con really"
28,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Duplicate or used Airbuds sent 4 times,1.0 out of 5 stars,This is the 4th time I ordered for replacement or return.  The product package is good but the Airbuds inside are used or defective and doesn't pair with mobile
29,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Reasonable and very light,4.0 out of 5 stars,It's toooo light in weight which makes it terrific.... Design and fitting was good.... Sound quality was excellent.... In ear detection mode not work properly according to me as it keep pausing music with a slight of movement and its irritating toooo.... Overall good to go in this kinda price.... 👍👍👍
30,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Good one but no option to switch between devices like one plus TWS,3.0 out of 5 stars,"Excellent headphones, but one major feature that is missing is that you cannot connect it to your laptop and phone at the same time and keep switching between them frequently like a one plus headphone. That is the most useful feature of the one plus wireless budz. I don’t even understand why they did not give this feature in this headphone at this price point."
31,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",At the cost of 3000 I don't think Worth,3.0 out of 5 stars,If you use it noice cancel it sound like robo.Sensor are working well but earphones are for the sounds .My opinion about sound that it is not up to mark .
32,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Worst product... Stopped working on the second week of buying...,1.0 out of 5 stars,It stopped working after some days... Worst product.. tatal waste of money
33,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Battery life,5.0 out of 5 stars,"Hi all .. whoever planning to buy this product should know this.I really liked the product worth the money .. If you are a bass lover then go for it no doubt in that but while on call it's not that clear especially if you are in bike and the battery doesn't last long, end of the day you will have to charge it again. These are the issues that i have faced.."
34,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Way better than expected,5.0 out of 5 stars,The noise cancellation is THE BEST thing about this product. You can literally be sitting in a room with a very fast and noisy fan and still be able to listen songs without ani disturbance.Transparent mode works great too.Connection is faster than other wireless buds I've used.Best buy
35,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Not worth,1.0 out of 5 stars,"If the person calling you is lucky then only u can able to take his call by tapping on earbuds otherwise call gets disconnected. Joking apart, but its reality. Initially Out of 10 calls only 3/4 calls gets connected  by tapping on earbud and After 2/3 months all the calls gets disconnected .  After use 5 months use left earbuds stopped working. Actually I purchased this earbuds after lot of research but got very disappointed. A big No for realme Buds Air Pro"
36,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",They charging for brand name realme not worth it,3.0 out of 5 stars,"The media could not be loaded.
                



 Very small USB cable not worth it 3300 too expensive bec this sound experience you will get in any boat earpod around 1500 why we are paying 3300 just for looks . My recommendation go for boat airpod"
37,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Product doesnt work. Works only for 30 days,1.0 out of 5 stars,The product worked for 30 days only. After that didnt work. First right earpodes didnot xonnect to bluetooth.then the left one didnt connect as well. Tried all methods of connecting.but didnt work
38,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Value for money,4.0 out of 5 stars,I bought it 2 months ago but it stopped working so i had to visit realme service centre to replace it but they gave me used repaired earphones in a seal packed box. Btw sound quality is good and it's so comfortable to wear.
39,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",It's good for the price,4.0 out of 5 stars,Good for musicAbove average for callANC is goodBackup is good
40,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Totally Satisfied with the first impression.,5.0 out of 5 stars,Makes a world of difference after using oneplus buds which costs around 5k. I've been using the later for few months and surprisingly it was not worth the premium we pay for it. Effortless switching Bw noise cancelling modes. Bass is kicking in with ease. Value for money 💯. Some may comment on the build quality but go for it. Worth every penny
41,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Don't buy this seller,1.0 out of 5 stars,Today (29-05-2022) i received this product. Paring button not working. Button functioning but white indicator (Paring Indicator/ON/OFF Indicator) not working.
42,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Awesome ear buds in this pric,5.0 out of 5 stars,"Hi I am writing this after using the realme buds air 2 for 1 month.Decent sound quality ,Decent noise cancellation.Amazing connection through BluetoothDecent look and feel.Amazing customization option through the app.Yhenonly thing which I didn't like was the touch screen control on the buds."
43,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",This proudct are wrong,1.0 out of 5 stars,I am recive this item today or not work the left buds battery show off left birds are 0℅ show
44,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Totally worth to buy.,5.0 out of 5 stars,Product is fabulous with a great sound quality along with other great features. Totally worth to purchase.
45,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Good buy not found any major issues.,4.0 out of 5 stars,"Quality wise it is good don't see any major issues. Sound is pretty good & works well with different modes.One thing which i dont like about the buds is their size, it is quite painful if you use it for long time. I'll recommend size should be little smaller to fit into ear."
46,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Waste of money. All reviews were paid,1.0 out of 5 stars,"So much price very bad battery backup, so much bad sound quality bass is so poor it sound like tattered speakers. Waste of money. They only spend money on paid review"
47,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","The product is really wonderful, but in 7months the left bud has stopped working.",5.0 out of 5 stars,"The product is really wonderful, but in 7months the left bud has stopped working. Really upset as it's not worth the money and difficult to get in touch with the seller."
48,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","dont buy this product,",1.0 out of 5 stars,noise cancellation not working properly and its not comfortable in ear. i called customer care for replacement or return but they are rude . like once you gaved money now you can not do anything
49,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Good product by realme! 👍,5.0 out of 5 stars,These earbuds feel very awesome! They give a very premium in-hand feel. The noise cancellation works quite well. The realme link app customization and button controls works perfectly. Switching between the modes is good. A person should definitely consider them if your budget allows!
50,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",DO NOT BUY FROM APPARIO RETAIL !,2.0 out of 5 stars,Do not buy from Appario Retail. I ordered it and the first time left earpiece was completely not working. Got it replaced and then in the new one which they sent right earpiece was faulty. Two times they sent me faulty product. Finally Amazon returned it and refunded the amount.Kudos to Amazon team from smooth return.
51,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Worst product. I don't recommend buying it.,1.0 out of 5 stars,Very bad product. Returned it twice. The first time the case was broken before opening. And second time the earpods started disconnecting automatically. The battery life is worst. One bud's battery completes within 30mins whereas the other one lasts for atleast a couple of hours.
